name	x	y	z	size	group	hemisphere	type	ind.region
LH1	-1.62295	-10.6183	34.8862646384671	5.024	LH	L	strip	posteriorcingulate
LH2	-2.79595	-10.4656	34.9873199443017	5.024	LH	L	strip	posteriorcingulate
LH3	-10.864	-8.17659	34.4076948514651	5.024	LH	L	strip	posteriorcingulate
LH4	-14.2123	-7.95335	34.3715096290703	5.024	LH	L	strip	posteriorcingulate
LH5	-18.1768	-7.66477	34.2781578933625	5.024	LH	L	strip	posteriorcingulate
LH6	-21.3098	-7.47347	34.4262980095256	5.024	LH	L	strip	insula
LH7	-25.0634	-7.41278	34.8049518818245	5.024	LH	L	strip	insula
LH8	-27.2473	-7.22064	34.931526632753	5.024	LH	L	strip	posteriorcingulate
LH9	-30.0952	-7.14231	35.7727556254426	5.024	LH	L	strip	superiorfrontal
LH10	-30.0952	-7.14231	35.7727556254426	5.024	LH	L	strip	superiorfrontal
LH11	-33.1769	-6.97812	36.3666288780516	5.024	LH	L	strip	caudalmiddlefrontal
LH12	-35.458	-6.39047	36.7356887859367	5.024	LH	L	strip	caudalmiddlefrontal
LH13	-38.741	-4.83818	37.3276529056793	5.024	LH	L	strip	caudalmiddlefrontal
LH14	-42.3283	-3.33948	37.9507963545843	5.024	LH	L	strip	precentral
LH15	-46.0183	-0.41774	38.6433429686964	5.024	LH	L	strip	precentral
LH16	-50.8413	2.44472	38.1066528908291	5.024	LH	L	strip	precentral
LQ1	-39.8025	4.46489	-5.0129208126827	5.024	LQ	L	strip	superiortemporal
LQ2	-41.8771	5.26371	-5.41107082033577	5.024	LQ	L	strip	superiortemporal
LQ3	-48.4375	5.82944	-7.18875722908968	5.024	LQ	L	strip	superiortemporal
LQ4	-52.1536	6.25317	-8.21025868961576	5.024	LQ	L	strip	superiortemporal
LQ5	-53.4835	7.22468	-8.395465518666	5.024	LQ	L	strip	superiortemporal
LQ6	-54.8301	7.78703	-8.20004138220367	5.024	LQ	L	strip	superiortemporal
LQ7	-58.4553	10.0193	-7.97415373885863	5.024	LQ	L	strip	superiortemporal
LQ8	-60.6874	11.1603	-8.2600579429382	5.024	LQ	L	strip	superiortemporal
LO1	-38.1283	-34.7116	10.0774385837093	5.024	LO	L	strip	insula
LO2	-37.9192	-31.3684	8.74005513521926	5.024	LO	L	strip	insula
LO3	-38.1049	-27.5426	8.22588137836578	5.024	LO	L	strip	insula
LO4	-37.7205	-23.6925	6.96016644795433	5.024	LO	L	strip	parahippocampal
LO5	-37.8446	-19.8441	5.19000620888026	5.024	LO	L	strip	insula
LO6	-38.3512	-16.5223	3.20507807588879	5.024	LO	L	strip	insula
LO7	-38.5718	-13.5757	1.23542448520869	5.024	LO	L	strip	insula
LO8	-37.1672	-10.2938	-0.108144777454341	5.024	LO	L	strip	insula
LO9	-37.6326	-7.07988	-1.9758517979478	5.024	LO	L	strip	insula
LO10	-38.2507	-3.68884	-3.70865816951377	5.024	LO	L	strip	insula
LO11	-37.6075	-0.184751	-5.36847939122794	5.024	LO	L	strip	insula
LO12	-38.8636	3.41074	-5.98223014090044	5.024	LO	L	strip	insula
LO13	-37.8274	7.13624	-9.20297657500496	5.024	LO	L	strip	medialorbitofrontal
LO14	-36.539	10.1807	-11.1824141335931	5.024	LO	L	strip	lateralorbitofrontal
LO15	-35.8546	13.5643	-13.9897419422118	5.024	LO	L	strip	lateralorbitofrontal
LO16	-35.6535	15.4632	-16.076678096744	5.024	LO	L	strip	lateralorbitofrontal
LF1	-15.7263	-4.54573	-19.4112612528181	5.024	LF	L	strip	entorhinal
LF2	-19.4846	-4.15841	-19.7839599336723	5.024	LF	L	strip	entorhinal
LF3	-23.7883	-4.87584	-21.8791811890057	5.024	LF	L	strip	entorhinal
LF4	-28.1327	-4.92499	-23.6131381646057	5.024	LF	L	strip	fusiform
LF5	-31.7519	-4.8975	-24.2896222596125	5.024	LF	L	strip	fusiform
LF6	-40.3254	-3.82147	-22.6947309022663	5.024	LF	L	strip	inferiortemporal
LF7	-42.8664	-4.59388	-22.3521313298397	5.024	LF	L	strip	inferiortemporal
LF8	-45.3105	-5.39926	-23.1689881559198	5.024	LF	L	strip	inferiortemporal
LF9	-48.122	-5.98085	-23.4089853587153	5.024	LF	L	strip	inferiortemporal
LF10	-52.8005	-5.87741	-22.6369327579341	5.024	LF	L	strip	inferiortemporal
LF11	-57.2461	-4.78733	-20.4056356185923	5.024	LF	L	strip	middletemporal
LF12	-62.2175	-4.41203	-18.9571512392394	5.024	LF	L	strip	middletemporal
LF13	-65.8476	-4.62598	-19.6683570064971	5.024	LF	L	strip	middletemporal
LF14	-71.1566	-6.66524	-20.6914315177325	5.024	LF	L	strip	middletemporal
LA1	-4.13054	27.6525	-24.2022020147951	5.024	LA	L	strip	medialorbitofrontal
LA2	-8.58919	28.6711	-23.2755014972759	5.024	LA	L	strip	medialorbitofrontal
LA3	-12.6791	29.7423	-22.8080333097871	5.024	LA	L	strip	lateralorbitofrontal
LA4	-15.9467	30.3186	-22.2603666460064	5.024	LA	L	strip	lateralorbitofrontal
LA5	-20.7881	31.2144	-20.8904166173653	5.024	LA	L	strip	lateralorbitofrontal
LA6	-24.7088	32.029	-19.5115173571877	5.024	LA	L	strip	lateralorbitofrontal
LA7	-27.2871	32.7631	-18.5721964811837	5.024	LA	L	strip	lateralorbitofrontal
LA8	-31.2468	32.4339	-17.7693404764111	5.024	LA	L	strip	lateralorbitofrontal
LA9	-36.9191	32.3189	-15.20880390345	5.024	LA	L	strip	parsorbitalis
LA10	-45.2197	33.4041	-10.2183420594777	5.024	LA	L	strip	parsorbitalis
LA11	-50.6406	35.123	-7.57041552927722	5.024	LA	L	strip	parstriangularis
LA12	-53.5265	36.3582	-7.45209715228886	5.024	LA	L	strip	parstriangularis
LA13	-56.8496	36.931	-7.13348440601517	5.024	LA	L	strip	parstriangularis
LB1	-17.4956	1.47596	-19.7966379115869	5.024	LB	L	strip	lateralorbitofrontal
LB2	-20.5444	2.79574	-21.1023900790325	5.024	LB	L	strip	lateralorbitofrontal
LB3	-23.2191	3.86233	-21.9499303990663	5.024	LB	L	strip	temporalpole
LB4	-25.7032	4.03929	-22.9806475793632	5.024	LB	L	strip	temporalpole
LB5	-30.0508	4.41039	-24.5462803888727	5.024	LB	L	strip	temporalpole
LB6	-33.2845	5.28881	-24.4428981791823	5.024	LB	L	strip	temporalpole
LB7	-37.4221	6.13243	-25.193521695143	5.024	LB	L	strip	temporalpole
LB8	-39.4281	6.79737	-24.925655082083	5.024	LB	L	strip	temporalpole
LB9	-42.9693	7.72472	-24.749455691098	5.024	LB	L	strip	temporalpole
LB10	-45.9732	7.73548	-24.6103948117947	5.024	LB	L	strip	temporalpole
LB11	-48.9041	8.27304	-24.9969730897489	5.024	LB	L	strip	superiortemporal
LB12	-54.0425	9.51876	-24.8000343258366	5.024	LB	L	strip	middletemporal
LB13	-58.1677	11.6065	-24.803737507329	5.024	LB	L	strip	superiortemporal
LB14	-62.0426	11.8425	-25.0178246435902	5.024	LB	L	strip	middletemporal
LB15	-63.4544	12.1032	-25.5436985087685	5.024	LB	L	strip	middletemporal
LC1	-24.6851	-19.963	-24.861710550626	5.024	LC	L	strip	parahippocampal
LC2	-28.0867	-20.4619	-24.5197566464628	5.024	LC	L	strip	parahippocampal
LC3	-33.049	-21.0669	-23.3604851369535	5.024	LC	L	strip	fusiform
LC4	-36.7543	-21.584	-21.9223592177249	5.024	LC	L	strip	fusiform
LC5	-39.7294	-22.2239	-21.6594005041247	5.024	LC	L	strip	fusiform
LC6	-41.6435	-23.0819	-20.6948734453262	5.024	LC	L	strip	fusiform
LC7	-43.2105	-23.0303	-20.2901767641512	5.024	LC	L	strip	inferiortemporal
LC8	-46.0815	-23.6206	-19.703041530697	5.024	LC	L	strip	inferiortemporal
LC9	-48.6451	-23.7294	-19.2886256722281	5.024	LC	L	strip	inferiortemporal
LC10	-51.1895	-23.5484	-18.7021140916069	5.024	LC	L	strip	inferiortemporal
LC11	-54.7257	-23.744	-18.3774309978606	5.024	LC	L	strip	inferiortemporal
LC12	-61.3512	-23.96	-17.7679965491375	5.024	LC	L	strip	middletemporal
LC13	-65.4479	-24.7709	-15.0741541992151	5.024	LC	L	strip	middletemporal
LC14	-67.591	-25.1849	-12.0319810591687	5.024	LC	L	strip	middletemporal
LC15	-68.2223	-25.8059	-12.0202180639746	5.024	LC	L	strip	middletemporal
LT1	-34.5018	24.2671	-1.51631463554966	5.024	LT	L	strip	parsorbitalis
LT2	-35.5504	24.5403	-0.982460123951139	5.024	LT	L	strip	parsorbitalis
LT3	-43.2232	24.6205	2.28599880448018	5.024	LT	L	strip	parsorbitalis
LT4	-47.4957	24.821	3.39388177385057	5.024	LT	L	strip	parstriangularis
LT5	-49.4942	25.1237	3.73883210228889	5.024	LT	L	strip	parstriangularis
LT6	-52.1512	26.0976	3.74426591731529	5.024	LT	L	strip	parstriangularis
