onset	duration	sample	trial_type	response_time	stim_file	item_name	category	serialpos	list	test	answer	experiment	session	subject
0.0	6.2	17485	INSTRUCT_START	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	1	R1472T
6.2	59.064	23688	INSTRUCT_END	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	1	R1472T
65.264	10.0	82745	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	1	R1472T
75.614	0.0	93102	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	-999	[0, 0, 0]	n/a	catFR1	1	R1472T
75.614	2.216	93102	ENCODING_START	n/a	n/a	n/a	n/a	-999	-1	[0, 0, 0]	n/a	catFR1	1	R1472T
77.83	1.6	95311	WORD	n/a	n/a	FISH	OceanAnimals	1	-1	[0, 0, 0]	n/a	catFR1	1	R1472T
79.447	0.8	96924	WORD_OFF	n/a	n/a	FISH	OceanAnimals	1	-1	[0, 0, 0]	n/a	catFR1	1	R1472T
80.247	1.6	97731	WORD	n/a	n/a	CRAB	OceanAnimals	2	-1	[0, 0, 0]	n/a	catFR1	1	R1472T
81.863	0.917	99345	WORD_OFF	n/a	n/a	CRAB	OceanAnimals	2	-1	[0, 0, 0]	n/a	catFR1	1	R1472T
82.78	1.6	100258	WORD	n/a	n/a	TURKEY	FarmAnimals	3	-1	[0, 0, 0]	n/a	catFR1	1	R1472T
84.397	0.983	101884	WORD_OFF	n/a	n/a	TURKEY	FarmAnimals	3	-1	[0, 0, 0]	n/a	catFR1	1	R1472T
85.38	1.6	102863	WORD	n/a	n/a	CALF	FarmAnimals	4	-1	[0, 0, 0]	n/a	catFR1	1	R1472T
86.997	0.766	104477	WORD_OFF	n/a	n/a	CALF	FarmAnimals	4	-1	[0, 0, 0]	n/a	catFR1	1	R1472T
87.763	1.6	105244	WORD	n/a	n/a	CAKE	Desserts	5	-1	[0, 0, 0]	n/a	catFR1	1	R1472T
89.38	0.867	106858	WORD_OFF	n/a	n/a	CAKE	Desserts	5	-1	[0, 0, 0]	n/a	catFR1	1	R1472T
90.247	1.6	107731	WORD	n/a	n/a	MOUSSE	Desserts	6	-1	[0, 0, 0]	n/a	catFR1	1	R1472T
91.863	0.817	109344	WORD_OFF	n/a	n/a	MOUSSE	Desserts	6	-1	[0, 0, 0]	n/a	catFR1	1	R1472T
92.68	1.6	110164	WORD	n/a	n/a	GOAT	FarmAnimals	7	-1	[0, 0, 0]	n/a	catFR1	1	R1472T
